﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids;PSC Vots;ERC Vots;JxCat Vots;VOX Vots;ECP-PEC Vots;CUP-G Vots;Cs Vots;PP Vots;PDeCAT Vots;RECORTES CERO-GV-M Vots;MPIC Vots;FNC Vots;PNC Vots;PCTC Vots;IZQP Vots;SOM TERRES DE L'EBRE Vots;PUM+J Vots;UEP Vots;EB Vots;UNIDOS SI-DEf-PDSJE-SOMOS ESPAÑA Vots;ALIANZA C V Vots;SCAT Vots;M.C.R. Vots
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43003;Albiol, l';500;357;99;167;190;167;2;5;183;188;37;48;34;10;13;15;11;7;7;1;0;0;0;0;;0;0;;;0;;;0
17;Girona;3;Girona;10;Baix Empordà;17004;Albons;759;558;204;325;376;182;5;2;369;371;35;91;137;3;16;61;8;6;11;1;0;0;0;0;0;;0;0;;;0;;
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43004;Alcanar;9434;6381;1347;2481;2941;3440;58;26;2857;2883;328;1158;543;168;114;264;69;72;50;3;4;3;1;3;;72;2;;;2;;;1
25;Lleida;4;Lleida;33;Segrià;25010;Alcanó;238;194;59;109;131;63;2;0;129;129;11;45;48;1;7;10;0;1;4;0;2;0;0;0;0;;0;;0;;;0;
25;Lleida;4;Lleida;33;Segrià;25011;Alcarràs;9707;5289;1181;2182;2512;2777;51;38;2423;2461;321;773;638;163;61;154;73;73;118;4;9;8;1;6;0;;4;;11;;;6;
25;Lleida;4;Lleida;33;Segrià;25012;Alcoletge;3435;2383;585;1047;1192;1191;33;18;1141;1159;198;308;281;73;51;67;55;24;32;4;22;3;3;4;0;;8;;8;;;0;
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43005;Alcover;5144;3681;777;1526;1825;1856;30;20;1775;1795;263;494;466;118;70;212;47;56;37;3;2;0;2;0;;2;2;;;1;;;0
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43904;Aldea, l';4147;2851;688;963;1188;1663;42;14;1132;1146;170;447;257;64;44;38;20;28;27;2;1;1;0;0;;32;0;;;1;;;0
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43006;Aldover;905;686;168;291;358;328;10;2;346;348;45;154;72;15;19;18;2;2;8;0;0;0;0;1;;7;3;;;0;;;0
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43007;Aleixar, l';893;665;179;365;412;253;2;3;407;410;27;122;130;19;10;57;12;12;13;0;2;0;0;0;;3;0;;;0;;;0
8;Barcelona;1;Barcelona;21;Maresme;08003;Alella;9904;7246;1892;3696;4531;2715;43;35;4453;4488;737;966;1234;313;200;265;279;206;199;15;14;12;11;2;0;;;;;;;;
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43008;Alfara de Carles;376;314;64;100;121;193;3;1;117;118;19;35;19;15;2;12;2;10;3;0;0;0;0;0;;0;0;;;0;;;0
25;Lleida;4;Lleida;33;Segrià;25013;Alfarràs;2765;2072;518;916;1071;1001;10;15;1046;1061;234;230;331;58;24;51;39;43;26;1;2;0;0;3;0;;3;;1;;;0;
25;Lleida;4;Lleida;33;Segrià;25014;Alfés;297;250;88;151;168;82;4;0;164;164;8;60;45;0;4;16;2;0;25;0;0;3;0;0;0;;0;;1;;;0;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43009;Alforja;1783;1417;383;688;800;617;12;7;781;788;117;216;184;27;38;109;23;12;42;1;10;0;0;0;;2;0;;;0;;;0
25;Lleida;4;Lleida;23;Noguera;25015;Algerri;404;347;119;192;212;135;3;0;209;209;15;73;74;5;4;19;6;7;5;0;0;0;1;0;0;;0;;0;;;0;
25;Lleida;4;Lleida;33;Segrià;25016;Alguaire;3029;2074;570;960;1125;949;18;13;1094;1107;126;361;383;22;26;80;14;28;38;1;6;4;1;1;1;;0;;1;;;1;
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25017;Alins;272;231;42;113;157;74;4;2;151;153;21;39;47;0;5;12;1;3;20;1;0;0;1;0;0;;1;;0;;;0;
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43010;Alió;458;349;111;179;202;147;1;2;199;201;22;51;67;11;10;20;3;3;8;1;2;0;0;0;;0;0;;;1;;;0
25;Lleida;4;Lleida;33;Segrià;25019;Almacelles;6826;4591;915;1766;2093;2498;61;17;2015;2032;361;544;476;128;105;112;86;102;54;5;11;8;3;0;5;;4;;10;;;1;
25;Lleida;4;Lleida;33;Segrià;25020;Almatret;305;272;99;178;199;73;2;4;193;197;13;53;73;11;4;10;3;6;17;2;1;0;0;0;0;;0;;0;;;0;
25;Lleida;4;Lleida;33;Segrià;25021;Almenar;3357;2527;535;1001;1267;1260;16;9;1242;1251;175;473;320;44;31;83;21;19;53;3;4;7;0;1;0;;2;;6;;;0;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43011;Almoster;1341;1094;338;638;739;355;10;6;723;729;63;184;263;37;26;66;20;25;32;0;1;2;0;0;;2;0;;;0;;;2
25;Lleida;4;Lleida;23;Noguera;25022;Alòs de Balaguer;132;103;30;48;62;41;0;0;62;62;6;19;24;0;4;2;2;1;4;0;0;0;0;0;0;;0;;0;;;0;
17;Girona;5;Alt Pirineu i territori d'Aran;15;Cerdanya;17006;Alp;1593;1228;274;523;735;493;24;4;707;711;78;168;231;24;21;97;23;14;38;0;2;1;3;1;0;;3;1;;;2;;
8;Barcelona;2;Catalunya Central;24;Osona;08004;Alpens;261;212;88;150;178;34;2;3;173;176;6;45;82;1;7;19;0;0;10;0;0;3;0;0;0;;;;;;;;
25;Lleida;4;Lleida;33;Segrià;25023;Alpicat;6266;4642;952;2036;2699;1943;45;29;2625;2654;376;677;739;197;73;141;108;98;179;7;5;3;5;1;1;;5;;10;;;0;
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43012;Altafulla;5307;3810;1109;2072;2478;1332;40;30;2408;2438;512;548;501;187;169;173;121;86;67;6;6;2;7;2;;2;11;;;3;;;5
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25024;Alt Àneu;414;366;88;166;248;118;1;1;246;247;25;82;87;1;2;31;1;2;12;0;0;2;1;0;0;;0;;0;;;0;
17;Girona;3;Girona;34;Selva;17007;Amer;2332;1788;598;1016;1128;660;26;5;1097;1102;64;183;673;8;23;107;12;6;9;0;0;5;2;1;1;;0;1;;;2;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08005;Ametlla del Vallès, l';8646;6576;1097;3006;3912;2664;71;29;3812;3841;497;893;1247;278;192;238;156;107;176;16;3;2;5;1;1;;;;;;;;
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43013;Ametlla de Mar, l';6866;4532;1195;1912;2406;2126;61;25;2320;2345;319;762;651;147;89;132;64;64;44;0;6;8;1;3;;23;4;;;3;;;0
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43906;Ampolla, l';3277;2181;656;1015;1236;945;46;4;1186;1190;161;259;435;74;43;71;42;35;46;0;1;0;0;1;;13;1;;;3;;;1
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43014;Amposta;21115;14467;3481;5764;6663;7804;208;74;6381;6455;980;2384;1226;335;295;445;173;151;143;6;11;12;3;3;;184;29;;;1;;;0
17;Girona;3;Girona;34;Selva;17008;Anglès;5654;3561;996;1744;1997;1564;28;13;1956;1969;170;386;960;57;50;212;29;20;44;4;9;2;3;3;0;;4;3;;;0;;
25;Lleida;4;Lleida;38;Urgell;25027;Anglesola;1365;971;319;513;569;402;6;6;557;563;15;194;223;27;16;21;17;12;24;0;1;3;0;2;0;;0;;1;;;1;
25;Lleida;4;Lleida;18;Garrigues;25029;Arbeca;2126;1581;401;785;971;610;17;5;949;954;112;306;324;17;27;91;10;25;31;1;0;0;1;1;0;;1;;2;;;0;
43;Tarragona;8;Penedès;12;Baix Penedès;43016;Arboç, l';5609;3457;906;1661;1871;1586;52;13;1806;1819;573;390;282;132;95;123;103;48;38;5;3;6;1;2;;0;2;;;3;;;0
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43015;Arbolí;127;111;53;77;90;21;3;1;86;87;0;39;22;0;8;10;0;0;4;0;0;1;0;0;;0;2;;;0;;;0
17;Girona;3;Girona;34;Selva;17009;Arbúcies;6608;4109;1041;2015;2442;1667;31;22;2389;2411;170;576;1014;56;96;320;41;24;66;1;7;8;4;2;0;;1;3;;;0;;
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;15941;11821;2621;5040;6426;5395;89;48;6289;6337;946;1421;2056;344;317;510;218;208;180;24;19;24;16;4;2;;;;;;;;
8;Barcelona;1;Barcelona;21;Maresme;08007;Arenys de Munt;9121;6931;1443;3354;3925;3006;52;36;3837;3873;413;1088;1300;171;149;404;85;68;104;15;17;12;4;7;0;;;;;;;;
17;Girona;3;Girona;19;Garrotxa;17010;Argelaguer;396;330;99;179;210;120;2;4;204;208;4;33;98;0;14;43;2;0;4;0;2;3;1;0;0;;0;0;;;0;;
8;Barcelona;8;Penedès;6;Anoia;08008;Argençola;219;177;64;108;117;60;1;3;113;116;5;25;39;7;6;22;0;2;4;1;1;0;1;0;0;;;;;;;;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43017;Argentera, l';117;116;69;91;98;18;1;0;97;97;7;36;36;0;2;8;0;3;3;1;0;0;0;1;;0;0;;;0;;;0
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;12536;9652;2386;4712;5474;4178;62;45;5367;5412;863;1232;1482;367;311;426;251;181;192;17;11;19;3;6;6;;;;;;;;
17;Girona;3;Girona;2;Alt Empordà;17011;Armentera, l';951;654;244;432;481;173;1;11;469;480;41;130;194;8;10;47;5;7;16;1;3;0;6;0;0;;0;1;;;0;;
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43018;Arnes;444;376;173;254;306;70;15;7;284;291;21;85;132;6;7;19;5;3;5;0;0;1;0;0;;0;0;;;0;;;0
25;Lleida;5;Alt Pirineu i territori d'Aran;39;Consell General d'Aran;25031;Arres;60;55;8;11;29;26;0;2;27;29;11;2;3;5;0;1;2;2;1;0;0;0;0;0;0;;0;;0;;;0;
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25032;Arsèguel;81;65;15;33;44;21;1;1;42;43;2;20;9;1;1;6;0;0;1;1;0;0;0;0;0;;0;;1;;;0;
8;Barcelona;2;Catalunya Central;7;Bages;08010;Artés;5762;4250;926;2110;2478;1772;35;18;2425;2443;291;642;775;114;82;305;84;28;74;8;16;2;2;2;0;;;;;;;;
25;Lleida;4;Lleida;33;Segrià;25033;Artesa de Lleida;1535;1129;342;629;751;378;8;8;735;743;65;255;230;22;15;69;12;10;47;1;0;0;0;1;0;;8;;0;;;0;
25;Lleida;4;Lleida;23;Noguera;25034;Artesa de Segre;3400;2272;484;1115;1332;940;22;11;1299;1310;101;453;448;39;19;105;17;25;75;3;3;3;1;1;0;;2;;2;;;2;
43;Tarragona;7;Terres de l'Ebre;30;Ribera d'Ebre;43019;Ascó;1644;1297;326;558;702;595;14;7;681;688;100;256;140;24;19;46;31;28;25;0;2;2;2;0;;4;0;;;2;;;0
25;Lleida;4;Lleida;33;Segrià;25036;Aspa;220;172;68;108;122;50;1;2;119;121;34;21;31;8;0;13;5;7;0;0;0;0;0;0;0;;0;;0;;;0;
25;Lleida;4;Lleida;23;Noguera;25037;Avellanes i Santa Linya, les;433;368;93;171;201;167;4;5;192;197;17;74;57;7;3;19;1;2;11;0;0;0;0;0;0;;0;;0;;;1;
8;Barcelona;2;Catalunya Central;14;Berguedà;08011;Avià;2220;1745;472;978;1118;627;18;9;1091;1100;66;324;416;12;27;152;7;7;63;5;10;1;0;0;1;;;;;;;;
8;Barcelona;2;Catalunya Central;7;Bages;08012;Avinyó;2289;1728;506;945;1078;650;12;13;1053;1066;83;297;426;18;26;117;14;13;51;0;2;5;1;0;0;;;;;;;;
8;Barcelona;8;Penedès;3;Alt Penedès;08013;Avinyonet del Penedès;1697;1297;379;714;815;482;12;7;796;803;92;191;331;36;36;49;28;9;18;0;3;2;0;1;0;;;;;;;;
17;Girona;3;Girona;2;Alt Empordà;17012;Avinyonet de Puigventós;1641;1211;291;622;687;524;13;2;672;674;86;165;200;65;32;29;28;12;38;3;2;2;1;5;0;;1;0;;;3;;
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;223166;155351;31160;62158;71086;84265;951;522;69613;70135;21144;13260;8425;6823;5644;3830;4673;4018;916;420;101;80;52;163;64;;;;;;;;
8;Barcelona;1;Barcelona;40;Vallès Occidental;08904;Badia del Vallès;13415;10396;2116;3684;4253;6143;51;31;4171;4202;1708;509;122;605;460;150;368;184;9;32;0;2;2;9;11;;;;;;;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08016;Bagà;2140;1789;572;900;1125;664;13;11;1101;1112;183;300;358;30;31;110;35;16;30;3;0;0;4;0;1;;;;;;;;
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25039;Baix Pallars;331;279;65;129;195;84;2;2;191;193;22;48;56;2;14;32;3;2;3;0;1;5;0;1;0;;1;;0;;;1;
25;Lleida;4;Lleida;23;Noguera;25040;Balaguer;17472;10686;2313;4532;5349;5337;117;57;5175;5232;866;1534;1392;260;146;340;177;172;213;6;12;11;6;9;5;;6;;13;;;7;
8;Barcelona;2;Catalunya Central;24;Osona;08017;Balenyà;3840;2824;578;1269;1533;1291;13;26;1494;1520;207;393;513;74;51;152;37;15;33;10;2;2;4;1;0;;;;;;;;
8;Barcelona;2;Catalunya Central;7;Bages;08018;Balsareny;3192;2564;615;1117;1385;1179;17;10;1358;1368;234;351;371;100;63;114;49;21;41;4;2;0;4;4;0;;;;;;;;
43;Tarragona;8;Penedès;12;Baix Penedès;43020;Banyeres del Penedès;3207;2347;568;1041;1199;1148;19;8;1172;1180;310;253;203;111;62;71;85;33;26;3;1;4;0;2;;0;3;;;4;;;1
17;Girona;3;Girona;28;Pla de l'Estany;17015;Banyoles;20053;12937;3389;6977;7984;4953;119;64;7801;7865;654;1914;3200;167;271;964;125;97;294;7;34;23;14;9;4;;12;9;;;3;;
25;Lleida;4;Lleida;27;Pla d'Urgell;25041;Barbens;878;523;154;242;283;240;4;10;269;279;27;97;90;8;4;15;2;5;14;2;2;2;0;0;0;;0;;1;;;0;
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43021;Barberà de la Conca;471;334;114;178;208;126;6;3;199;202;15;50;55;12;10;27;2;5;21;1;0;0;0;1;;0;0;;;0;;;0
8;Barcelona;1;Barcelona;40;Vallès Occidental;08252;Barberà del Vallès;33334;24879;4993;10799;12693;12186;203;91;12399;12490;4286;2258;841;1356;1231;484;1140;507;132;108;8;9;9;16;14;;;;;;;;
8;Barcelona;1;Barcelona;13;Barcelonès;08019;Barcelona;1664182;1099283;247916;519605;628002;471281;6804;4185;617013;621198;146384;118537;111014;44280;57015;43105;38692;32877;17648;2821;1355;830;1103;855;497;;;;;;;;
25;Lleida;4;Lleida;23;Noguera;25042;Baronia de Rialb, la;229;202;81;128;140;62;1;1;138;139;8;34;31;1;2;4;1;1;56;0;0;0;0;0;0;;0;;0;;;0;
17;Girona;3;Girona;2;Alt Empordà;17016;Bàscara;1001;739;200;433;474;265;11;6;457;463;41;114;185;16;18;56;4;3;14;0;1;1;0;1;0;;0;2;;;1;;
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25044;Bassella;217;180;65;101;130;50;3;1;126;127;10;23;38;3;3;13;2;6;28;0;0;0;0;0;0;;0;;0;;;0;
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43022;Batea;1901;1430;395;672;895;535;15;10;870;880;304;229;135;72;19;37;14;42;15;0;0;0;0;0;;2;0;;;1;;;0
25;Lleida;5;Alt Pirineu i territori d'Aran;39;Consell General d'Aran;25045;Bausen;60;59;6;10;25;34;1;1;23;24;5;3;2;0;3;5;2;2;1;0;0;0;0;0;0;;0;;0;;;0;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08020;Begues;7300;5374;1108;2614;3400;1974;24;34;3342;3376;621;858;732;221;232;237;181;96;122;20;9;6;4;3;0;;;;;;;;
17;Girona;3;Girona;10;Baix Empordà;17013;Begur;3891;2832;796;1408;1612;1220;26;17;1569;1586;326;338;463;105;71;88;64;49;38;4;6;4;1;2;0;;3;7;;;0;;
25;Lleida;4;Lleida;38;Urgell;25046;Belianes;520;408;134;228;271;137;10;4;257;261;30;73;73;7;2;43;5;15;6;0;0;1;0;1;0;;0;;1;;;0;
25;Lleida;4;Lleida;18;Garrigues;25170;Bellaguarda;287;257;76;149;186;71;0;1;185;186;18;55;74;4;4;14;0;4;6;0;0;5;0;0;0;;1;;0;;;0;
17;Girona;3;Girona;10;Baix Empordà;17018;Bellcaire d'Empordà;678;501;188;313;345;156;7;2;336;338;34;82;124;9;12;57;5;2;9;0;0;0;1;0;0;;0;1;;;0;;
25;Lleida;4;Lleida;23;Noguera;25047;Bellcaire d'Urgell;1199;946;357;573;665;281;6;10;649;659;53;261;187;16;8;50;10;18;43;1;0;0;1;0;0;;0;;0;;;1;
25;Lleida;4;Lleida;27;Pla d'Urgell;25048;Bell-lloc d'Urgell;2335;1639;387;853;1006;633;30;12;964;976;118;305;295;33;18;49;26;21;87;1;0;1;1;4;0;;1;;3;;;1;
25;Lleida;4;Lleida;23;Noguera;25049;Bellmunt d'Urgell;185;150;58;94;107;43;8;0;99;99;4;25;24;5;0;7;2;0;29;0;0;0;1;0;0;;0;;2;;;0;
43;Tarragona;6;Camp de Tarragona;29;Priorat;43023;Bellmunt del Priorat;273;209;82;123;151;58;4;5;142;147;20;54;25;1;4;25;0;0;7;3;0;0;0;0;;1;0;;;1;;;1
8;Barcelona;8;Penedès;6;Anoia;08021;Bellprat;64;64;29;35;41;23;2;0;39;39;3;10;17;2;0;4;0;0;3;0;0;0;0;0;0;;;;;;;;
25;Lleida;4;Lleida;38;Urgell;25050;Bellpuig;5218;3269;843;1499;1846;1423;21;17;1808;1825;183;576;601;37;42;168;31;37;116;1;3;2;0;3;0;;1;;7;;;0;
43;Tarragona;8;Penedès;12;Baix Penedès;43024;Bellvei;2237;1616;368;663;754;862;12;9;733;742;168;166;90;104;45;45;51;28;26;3;1;2;1;2;;0;0;;;1;;;0
25;Lleida;5;Alt Pirineu i territori d'Aran;15;Cerdanya;25051;Bellver de Cerdanya;2005;1619;376;689;995;624;29;10;956;966;124;240;316;23;35;118;22;22;37;2;3;5;1;3;1;;1;;2;;;1;
25;Lleida;4;Lleida;27;Pla d'Urgell;25052;Bellvís;2260;1555;416;876;976;579;20;10;946;956;65;361;351;15;21;78;9;12;28;0;3;0;1;0;0;;0;;2;;;0;
25;Lleida;4;Lleida;33;Segrià;25053;Benavent de Segrià;1518;1111;258;566;679;432;5;4;670;674;86;196;180;32;14;46;26;19;64;1;2;1;0;1;0;;0;;1;;;1;
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43025;Benifallet;723;577;196;320;376;201;6;2;368;370;112;122;55;12;19;19;4;11;8;0;0;0;3;0;;3;0;;;0;;;0
43;Tarragona;7;Terres de l'Ebre;30;Ribera d'Ebre;43026;Benissanet;1140;764;247;438;502;262;8;7;487;494;47;166;156;20;8;52;6;11;13;2;0;1;1;0;;2;1;;;1;;;0
8;Barcelona;2;Catalunya Central;14;Berguedà;08022;Berga;16760;12176;2975;5657;6464;5712;93;64;6307;6371;682;1524;2470;168;184;777;105;78;243;10;27;17;21;0;1;;;;;;;;
17;Girona;3;Girona;19;Garrotxa;17019;Besalú;2487;1801;553;1059;1174;627;24;18;1132;1150;105;283;505;17;29;93;15;10;45;1;6;7;4;0;0;;3;8;;;1;;
17;Girona;3;Girona;20;Gironès;17020;Bescanó;4991;3768;885;2060;2375;1393;23;24;2328;2352;174;521;1096;70;60;267;31;20;57;2;13;5;6;2;0;;3;1;;;0;;
17;Girona;3;Girona;19;Garrotxa;17021;Beuda;186;121;40;72;79;42;3;1;75;76;8;11;23;2;6;16;1;0;7;1;0;0;0;0;0;;0;0;;;0;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08023;Bigues i Riells;9358;7257;1571;3039;3656;3601;63;26;3567;3593;624;1019;777;259;212;259;207;101;64;22;9;6;2;3;3;;;;;;;;
25;Lleida;4;Lleida;32;Segarra;25055;Biosca;177;161;56;78;94;67;2;1;91;92;9;12;45;2;3;4;4;3;5;0;0;2;0;0;0;;0;;2;;;0;
17;Girona;3;Girona;10;Baix Empordà;17022;Bisbal d'Empordà, la;11159;7132;1672;3535;3948;3184;63;44;3841;3885;547;1018;1209;117;170;537;49;56;89;8;8;8;7;6;1;;4;7;;;0;;
43;Tarragona;6;Camp de Tarragona;29;Priorat;43027;Bisbal de Falset, la;211;169;56;116;128;41;0;0;128;128;8;38;60;5;3;3;0;0;11;0;0;0;0;0;;0;0;;;0;;;0
43;Tarragona;8;Penedès;12;Baix Penedès;43028;Bisbal del Penedès, la;3631;2906;448;1000;1177;1729;26;5;1146;1151;244;260;227;104;59;81;45;20;91;4;0;4;0;3;;1;2;;;0;;;1
17;Girona;3;Girona;2;Alt Empordà;17234;Biure;241;183;74;104;116;67;1;2;113;115;13;30;30;10;8;12;5;2;2;1;0;0;0;0;0;;0;0;;;0;;
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43029;Blancafort;382;311;110;183;219;92;6;4;209;213;12;112;37;0;13;23;2;2;6;0;0;2;0;0;;0;0;;;0;;;0
17;Girona;3;Girona;34;Selva;17023;Blanes;39914;27772;5634;11473;13313;14459;257;129;12927;13056;3500;2670;2243;1171;1153;583;806;349;253;41;11;33;9;26;6;;28;32;;;13;;
17;Girona;3;Girona;2;Alt Empordà;17029;Boadella i les Escaules;272;214;98;127;137;77;0;2;135;137;15;34;38;17;4;17;2;2;4;1;1;0;0;0;0;;0;0;;;0;;
17;Girona;5;Alt Pirineu i territori d'Aran;15;Cerdanya;17024;Bolvir;375;335;78;158;237;98;13;2;222;224;24;27;75;25;5;12;7;12;32;0;0;0;1;0;1;;0;1;;;0;;
43;Tarragona;8;Penedès;12;Baix Penedès;43030;Bonastre;685;505;155;269;298;207;3;4;291;295;40;89;72;21;24;14;10;6;5;4;2;0;0;1;;2;1;;;0;;;0
25;Lleida;5;Alt Pirineu i territori d'Aran;39;Consell General d'Aran;25057;Bòrdes, es;255;222;41;70;109;113;6;2;101;103;21;19;12;14;10;10;7;4;1;0;0;0;0;2;0;;0;;1;;;0;
17;Girona;3;Girona;20;Gironès;17025;Bordils;1761;1197;432;752;841;356;12;4;825;829;53;160;348;22;19;167;8;10;28;2;3;2;0;0;0;;0;2;;;1;;
25;Lleida;4;Lleida;18;Garrigues;25058;Borges Blanques, les;6173;4375;977;1984;2432;1943;35;27;2370;2397;203;791;884;83;46;201;44;31;54;4;6;10;0;4;1;;2;;6;;;0;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43031;Borges del Camp, les;2056;1464;439;793;904;560;16;1;887;888;67;252;356;48;26;76;22;14;15;2;4;1;1;0;;0;1;;;2;;;0
17;Girona;3;Girona;2;Alt Empordà;17026;Borrassà;733;547;174;350;380;167;2;8;370;378;30;76;189;19;2;30;2;7;5;1;4;1;0;0;1;;0;3;;;0;;
